,Term,Makanan,Olahraga,Perjalanan,Label
68,stok,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
69,kue,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
70,balok,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
71,cemilan,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
72,sore,0.009054325955734407,0.0011494252873563218,0.0009689922480620155,Makanan
73,koda,0.0030181086519114686,0.0011494252873563218,0.0029069767441860465,Makanan
74,banget,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
75,kalo,0.0030181086519114686,0.0034482758620689655,0.0009689922480620155,Olahraga
76,mateng,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
77,gin,0.007042253521126761,0.0011494252873563218,0.0009689922480620155,Makanan
